item,itemLabel
http://www.wikidata.org/entity/Q3224418,Vincent Crabbe
http://www.wikidata.org/entity/Q3231528,Barty Crouch Jr.
http://www.wikidata.org/entity/Q3416772,Rita Skeeter
http://www.wikidata.org/entity/Q3430858,Charlie Weasley
http://www.wikidata.org/entity/Q3740888,Ted Lupin
http://www.wikidata.org/entity/Q4199479,Alicia Spinnet
http://www.wikidata.org/entity/Q14905857,Alecto Carrow
http://www.wikidata.org/entity/Q15269497,Belvina Black
http://www.wikidata.org/entity/Q15272935,Cassiopeia Black
http://www.wikidata.org/entity/Q15272785,Melania Macmillan
http://www.wikidata.org/entity/Q15272844,Lycoris Black
http://www.wikidata.org/entity/Q15272938,Charlus Potter
http://www.wikidata.org/entity/Q5724071,Beatrix Bloxam
http://www.wikidata.org/entity/Q5996771,Marcus Flint
http://www.wikidata.org/entity/Q6052969,Orion Black
http://www.wikidata.org/entity/Q6072130,Percival Dumbledore
http://www.wikidata.org/entity/Q9299872,Eileen Prince
http://www.wikidata.org/entity/Q12701985,Ritchie Coote
http://www.wikidata.org/entity/Q3307136,Angelina Johnson
http://www.wikidata.org/entity/Q13359613,George Weasley
http://www.wikidata.org/entity/Q12716760,Marlene McKinnon
http://www.wikidata.org/entity/Q3743029,Rodolphus Lestrange
http://www.wikidata.org/entity/Q15257517,Millicent Bagnold
http://www.wikidata.org/entity/Q4808485,Tobias Snape
http://www.wikidata.org/entity/Q6594826,Walburga Black
http://www.wikidata.org/entity/Q9659949,Bob Ogden
http://www.wikidata.org/entity/Q12230465,Frank Longbottom
http://www.wikidata.org/entity/Q1971483,Piers Polkiss
http://www.wikidata.org/entity/Q12498478,Michael Corner
http://www.wikidata.org/entity/Q13359612,Fred Weasley
http://www.wikidata.org/entity/Q15242205,Gregory Goyle
http://www.wikidata.org/entity/Q15257510,Nobby Leach
http://www.wikidata.org/entity/Q1987275,Florian Fortescue
http://www.wikidata.org/entity/Q1996582,Augustus Rookwood
http://www.wikidata.org/entity/Q2227808,Hepzibah Smith
http://www.wikidata.org/entity/Q2285988,Fridwulfa
http://www.wikidata.org/entity/Q2390133,Amelia Bones
http://www.wikidata.org/entity/Q2600134,Albert Runcorn
http://www.wikidata.org/entity/Q2626211,Dirk Cresswell
http://www.wikidata.org/entity/Q3937946,Reginald Cattermole
http://www.wikidata.org/entity/Q6016534,Millicent Bulstrode
http://www.wikidata.org/entity/Q6016714,Marietta Edgecombe
http://www.wikidata.org/entity/Q6128436,Silvanus Kettleburn
http://www.wikidata.org/entity/Q9703083,Cassandra Trelawney
http://www.wikidata.org/entity/Q14321830,Blast-ended Skrewt
http://www.wikidata.org/entity/Q15257488,Evangeline Orpington
http://www.wikidata.org/entity/Q15269284,Septimus Weasley
http://www.wikidata.org/entity/Q15269422,Fred Weasley II
http://www.wikidata.org/entity/Q15269521,Sirius Black II
http://www.wikidata.org/entity/Q15272917,Irma Crabbe
http://www.wikidata.org/entity/Q5852772,Everard
http://www.wikidata.org/entity/Q12310548,Errol
http://www.wikidata.org/entity/Q15553735,Colin Creevey
http://www.wikidata.org/entity/Q3257000,Lavender Brown
http://www.wikidata.org/entity/Q3278363,Fenrir Greyback
http://www.wikidata.org/entity/Q2350043,Cuthbert Binns
http://www.wikidata.org/entity/Q2797625,Whomping Willow
http://www.wikidata.org/entity/Q3270426,Kreacher
http://www.wikidata.org/entity/Q6024003,Blaise Zabini
